name;type;leads outside;neigbours (id + distance)
fenster;ROOM;FALSE;treppe von bett zu fenster,4,lift von bett zu fenster,2
bett;ROOM;FALSE;treppe von bett zu fenster,2,lift von bett zu fenster,2,schlafzimmer tuer,4
schlafzimmer tuer;ROOM;FALSE;bett,4,abstellraum,4,badezimmer tuer,5
abstellraum;ROOM;FALSE;schlafzimmer tuer,4,badezimmer tuer,2,vorzimmer,6
badezimmer tuer;ROOM;FALSE;abstellraum,2,schlafzimmer tuer,5,wc,3,badewanne,6
wc;ROOM;FALSE;badezimmer tuer,3,badewanne,4
badewanne;ROOM;FALSE;badezimmer tuer,6,wc,4
kueche;ROOM;FALSE;esstisch,7
esstisch;ROOM;FALSE;kueche,7,schreibtisch 1,7,schreibtisch 2,6,vorzimmer,8
schreibtisch 1;ROOM;FALSE;esstisch,7,schreibtisch 2,4,couch,10
schreibtisch 2;ROOM;FALSE;esstisch,7,schreibtisch 1,4,couch,6
couch;ROOM;FALSE;schreibtisch 1,10,schreibtisch 2,6,treppe zu balkon,2,fernseher,3
fernseher;ROOM;FALSE;couch,3,treppe zu balkon,2
balkon;ROOM;FALSE;treppe zu balkon,1
vorzimmer;ROOM;FALSE;esstisch,8,eingangstuer,1,abstellraum,6
eingangstuer;ROOM;TRUE;vorzimmer,1
treppe zu balkon;STAIRS;FALSE;couch,2,fernseher,2,balkon,1
treppe von bett zu fenster;STAIRS;FALSE;fenster,4,bett,3
lift von bett zu fenster;ELEVATOR;FALSE;fenster,2,bett,3
